fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.94,0.83,0.82,0.85,0.92,0.85,0.82,0.84,0.85,0.81,0.85,0.91,0.9,0.76,0.85,0.83,0.85,0.85,0.86,0.8,0.86,0.83,0.82,0.89,0.8,0.87,0.86,0.74,0.81,0.87
Adiac,0.7800511508951407,0.7851662404092071,0.7340153452685422,0.7365728900255755,0.7877237851662404,0.7672634271099744,0.7774936061381074,0.7774936061381074,0.7851662404092071,0.7851662404092071,0.7570332480818415,0.7800511508951407,0.7544757033248082,0.7749360613810742,0.7851662404092071,0.7800511508951407,0.7774936061381074,0.7826086956521741,0.7826086956521741,0.7723785166240409,0.7570332480818415,0.7851662404092071,0.7877237851662404,0.7826086956521741,0.7416879795396419,0.7953964194373402,0.7416879795396419,0.7826086956521741,0.7979539641943734,0.7800511508951407
ArrowHead,0.8514285714285714,0.8571428571428571,0.8628571428571429,0.88,0.8971428571428571,0.8457142857142858,0.8742857142857143,0.8857142857142857,0.88,0.9142857142857144,0.7942857142857143,0.8457142857142858,0.7657142857142857,0.8857142857142857,0.8971428571428571,0.9028571428571428,0.7942857142857143,0.8628571428571429,0.9028571428571428,0.8571428571428571,0.9485714285714286,0.8571428571428571,0.88,0.88,0.9085714285714286,0.8971428571428571,0.9085714285714286,0.8514285714285714,0.8857142857142857,0.8228571428571428
BME,1.0,0.98,0.98,0.9933333333333332,1.0,1.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.9866666666666668,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.9533333333333334,0.9866666666666668,0.9933333333333332,0.98,1.0,1.0,1.0,0.98,0.98,0.9733333333333334,0.9866666666666668,0.9866666666666668,0.9866666666666668,0.98,0.9733333333333334,0.9866666666666668
Beef,0.8,0.7666666666666667,0.7333333333333333,0.5666666666666667,0.9,0.6333333333333333,0.8333333333333334,0.7333333333333333,0.8333333333333334,0.7666666666666667,0.7,0.8,0.8666666666666667,0.6,0.8333333333333334,0.6666666666666666,0.7333333333333333,0.7,0.6333333333333333,0.8666666666666667,0.6666666666666666,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.7,0.7,0.8,0.8666666666666667,0.6333333333333333,0.7666666666666667
BeetleFly,0.95,0.9,0.8,0.95,0.95,0.9,1.0,0.9,0.85,0.85,0.95,0.95,0.8,0.8,0.8,0.95,0.85,0.85,0.95,0.85,0.9,1.0,0.85,0.95,0.85,0.9,0.95,0.85,0.75,1.0
BirdChicken,0.9,0.9,0.85,0.9,0.85,0.85,0.9,0.85,0.8,0.9,0.85,0.85,0.95,0.9,0.85,1.0,0.85,0.95,0.9,1.0,0.85,1.0,1.0,0.95,0.85,0.95,0.85,0.8,0.8,0.9
CBF,0.9988888888888888,1.0,0.9611111111111112,0.9988888888888888,1.0,0.9922222222222222,0.9988888888888888,0.9988888888888888,1.0,1.0,0.9966666666666668,0.9988888888888888,1.0,1.0,1.0,1.0,0.9988888888888888,0.9966666666666668,0.9955555555555556,0.9944444444444444,0.9766666666666668,1.0,0.9988888888888888,1.0,0.9988888888888888,1.0,1.0,0.9988888888888888,1.0,0.9988888888888888
Car,0.9166666666666666,0.9166666666666666,0.9,0.8333333333333334,0.8333333333333334,0.9,0.8833333333333333,0.9166666666666666,0.9166666666666666,0.8833333333333333,0.8666666666666667,0.9,0.9166666666666666,0.9,0.9166666666666666,0.85,0.9166666666666666,0.95,0.9166666666666666,0.9,0.8333333333333334,0.9,1.0,0.8833333333333333,0.9666666666666668,0.9166666666666666,0.95,0.9166666666666666,0.9,0.85
Chinatown,0.9825072886297376,0.9737609329446064,0.9854227405247812,0.9708454810495628,0.9650145772594751,0.967930029154519,0.967930029154519,0.979591836734694,0.979591836734694,0.9650145772594751,0.9825072886297376,0.9650145772594751,0.9708454810495628,0.9708454810495628,0.9708454810495628,0.9650145772594751,0.97667638483965,0.967930029154519,0.9708454810495628,0.967930029154519,0.967930029154519,0.9737609329446064,0.9650145772594751,0.9620991253644317,0.9650145772594751,0.9708454810495628,0.97667638483965,0.9650145772594751,0.967930029154519,0.9650145772594751
ChlorineConcentration,0.77265625,0.79140625,0.7794270833333333,0.771875,0.7700520833333333,0.7653645833333333,0.76796875,0.7825520833333334,0.7578125,0.7338541666666667,0.77421875,0.7513020833333334,0.79375,0.7705729166666667,0.7736979166666667,0.7526041666666666,0.7799479166666666,0.7708333333333334,0.76015625,0.7559895833333333,0.7510416666666667,0.7473958333333334,0.7708333333333334,0.7729166666666667,0.7942708333333334,0.7489583333333333,0.7348958333333333,0.75703125,0.75625,0.7388020833333333
CinCECGTorso,0.8405797101449275,0.8572463768115942,0.8355072463768116,0.936231884057971,0.8934782608695652,0.8289855072463768,0.8065217391304348,0.894927536231884,0.8942028985507247,0.8623188405797102,0.8630434782608696,0.944927536231884,0.8920289855072464,0.9391304347826088,0.822463768115942,0.9014492753623188,0.8782608695652174,0.9528985507246376,0.8710144927536232,0.9478260869565216,0.8905797101449275,0.9065217391304348,0.8289855072463768,0.8717391304347826,0.8007246376811594,0.927536231884058,0.922463768115942,0.8992753623188405,0.8304347826086956,0.8449275362318841
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.752,0.888,0.856,0.852,0.868,0.884,0.872,0.836,0.888,0.8759999999999999,0.88,0.856,0.9,0.888,0.848,0.8440000000000001,0.8440000000000001,0.88,0.8640000000000001,0.8640000000000001,0.84,0.8640000000000001,0.868,0.88,0.86,0.8440000000000001,0.84,0.92,0.84,0.836
CricketX,0.8282051282051283,0.8410256410256409,0.8282051282051283,0.823076923076923,0.8384615384615385,0.8307692307692308,0.8128205128205128,0.8384615384615385,0.8358974358974359,0.8307692307692308,0.8512820512820513,0.8589743589743589,0.8769230769230769,0.8461538461538461,0.8461538461538461,0.8615384615384616,0.8589743589743589,0.8692307692307693,0.8153846153846154,0.8564102564102564,0.7948717948717948,0.8358974358974359,0.8307692307692308,0.8512820512820513,0.8358974358974359,0.8512820512820513,0.8256410256410256,0.8358974358974359,0.8333333333333334,0.8179487179487179
CricketY,0.8538461538461538,0.8435897435897436,0.8384615384615385,0.8358974358974359,0.8282051282051283,0.8461538461538461,0.8333333333333334,0.8410256410256409,0.8666666666666667,0.8487179487179487,0.8410256410256409,0.8615384615384616,0.8512820512820513,0.8410256410256409,0.8564102564102564,0.8102564102564103,0.8461538461538461,0.8589743589743589,0.8512820512820513,0.8333333333333334,0.8384615384615385,0.8282051282051283,0.8692307692307693,0.8666666666666667,0.8333333333333334,0.8358974358974359,0.8666666666666667,0.8461538461538461,0.8666666666666667,0.8512820512820513
CricketZ,0.8589743589743589,0.8307692307692308,0.8666666666666667,0.8615384615384616,0.8666666666666667,0.8692307692307693,0.8846153846153846,0.8769230769230769,0.8769230769230769,0.8307692307692308,0.8461538461538461,0.8615384615384616,0.8256410256410256,0.8794871794871795,0.8435897435897436,0.8461538461538461,0.8717948717948718,0.8666666666666667,0.8589743589743589,0.8666666666666667,0.8666666666666667,0.8615384615384616,0.8538461538461538,0.8410256410256409,0.8589743589743589,0.8512820512820513,0.8589743589743589,0.8128205128205128,0.8256410256410256,0.8564102564102564
Crop,0.7530357142857143,0.7526785714285714,0.7520238095238095,0.7545833333333334,0.7555952380952381,0.7472619047619048,0.7554761904761905,0.7547619047619047,0.755,0.7523214285714286,0.7554761904761905,0.7539285714285714,0.75375,0.7527380952380952,0.7542857142857143,0.7557142857142857,0.7558928571428571,0.7542261904761904,0.7545833333333334,0.75625,0.7539880952380953,0.7546428571428572,0.7548214285714285,0.7499404761904762,0.7533333333333333,0.7577380952380952,0.7568452380952381,0.7498809523809524,0.7543452380952381,0.7604761904761905
DiatomSizeReduction,0.9705882352941176,0.9575163398692812,0.8856209150326797,0.7516339869281046,0.954248366013072,0.8921568627450981,0.937908496732026,0.9509803921568628,0.9607843137254902,0.9575163398692812,0.8660130718954249,0.9509803921568628,0.9705882352941176,0.8986928104575164,0.934640522875817,0.8823529411764706,0.9215686274509804,0.9281045751633988,0.9215686274509804,0.8888888888888888,0.9575163398692812,0.931372549019608,0.9411764705882352,0.954248366013072,0.8758169934640523,0.9967320261437908,0.8496732026143791,0.934640522875817,0.9607843137254902,0.915032679738562
DistalPhalanxOutlineAgeGroup,0.7625899280575541,0.8201438848920863,0.8345323741007195,0.8705035971223022,0.7482014388489209,0.7625899280575541,0.8417266187050358,0.8201438848920863,0.7553956834532374,0.7841726618705036,0.7985611510791367,0.8129496402877698,0.8489208633093526,0.7985611510791367,0.8345323741007195,0.8201438848920863,0.7985611510791367,0.8345323741007195,0.7985611510791367,0.8129496402877698,0.7625899280575541,0.8129496402877698,0.7913669064748201,0.8201438848920863,0.8129496402877698,0.8129496402877698,0.8057553956834532,0.8561151079136691,0.8489208633093526,0.8273381294964028
DistalPhalanxOutlineCorrect,0.7934782608695652,0.8188405797101449,0.855072463768116,0.8152173913043478,0.8152173913043478,0.8623188405797102,0.8369565217391305,0.8188405797101449,0.8260869565217391,0.8514492753623188,0.8442028985507246,0.8405797101449275,0.8369565217391305,0.8586956521739131,0.8333333333333334,0.8442028985507246,0.8369565217391305,0.7934782608695652,0.8115942028985508,0.822463768115942,0.8297101449275363,0.855072463768116,0.8043478260869565,0.8369565217391305,0.8586956521739131,0.8152173913043478,0.8115942028985508,0.8152173913043478,0.8115942028985508,0.8442028985507246
DistalPhalanxTW,0.7194244604316546,0.7050359712230215,0.7338129496402878,0.7266187050359713,0.7122302158273381,0.6834532374100719,0.6906474820143885,0.7410071942446043,0.7194244604316546,0.6906474820143885,0.6762589928057554,0.7050359712230215,0.6115107913669064,0.6690647482014388,0.7194244604316546,0.7194244604316546,0.7194244604316546,0.7050359712230215,0.7122302158273381,0.7194244604316546,0.7194244604316546,0.7050359712230215,0.6906474820143885,0.7194244604316546,0.7050359712230215,0.6834532374100719,0.7050359712230215,0.6978417266187049,0.6834532374100719,0.7122302158273381
ECG200,0.9,0.89,0.9,0.86,0.9,0.89,0.87,0.91,0.94,0.9,0.9,0.88,0.88,0.88,0.88,0.9,0.88,0.91,0.91,0.88,0.86,0.87,0.87,0.9,0.9,0.92,0.88,0.93,0.87,0.9
