,folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,ACSF1,0.9,0.8,0.82,0.84,0.81,0.89,0.83,0.83,0.79,0.77,0.85,0.9,0.88,0.81,0.86,0.78,0.83,0.89,0.83,0.79,0.81,0.86,0.83,0.85,0.84,0.9,0.78,0.77,0.8,0.87
1,Adiac,0.8388746803069054,0.8260869565217391,0.7979539641943734,0.8158567774936062,0.8491048593350383,0.8286445012787724,0.8107416879795396,0.8081841432225064,0.8107416879795396,0.8363171355498721,0.8132992327365729,0.8184143222506394,0.7928388746803069,0.80306905370844,0.8209718670076727,0.8235294117647058,0.8260869565217391,0.7979539641943734,0.8209718670076727,0.8286445012787724,0.8286445012787724,0.8516624040920716,0.8414322250639387,0.8286445012787724,0.8132992327365729,0.8363171355498721,0.8158567774936062,0.8312020460358056,0.8542199488491049,0.8235294117647058
2,AllGestureWiimoteX,0.7157142857142857,0.7257142857142858,0.7428571428571429,0.7328571428571429,0.73,0.7228571428571429,0.7257142857142858,0.7214285714285714,0.7242857142857143,0.7328571428571429,0.7214285714285714,0.7314285714285714,0.72,0.7171428571428572,0.7414285714285714,0.7128571428571429,0.7342857142857143,0.7242857142857143,0.7257142857142858,0.7457142857142857,0.7285714285714285,0.7214285714285714,0.7357142857142858,0.7214285714285714,0.73,0.7357142857142858,0.7285714285714285,0.7371428571428571,0.7285714285714285,0.7442857142857143
3,AllGestureWiimoteY,0.7671428571428571,0.7585714285714286,0.7642857142857142,0.7657142857142857,0.7614285714285715,0.7642857142857142,0.7642857142857142,0.7771428571428571,0.7557142857142857,0.7785714285714286,0.7728571428571429,0.7585714285714286,0.7685714285714286,0.7542857142857143,0.7585714285714286,0.7557142857142857,0.7671428571428571,0.7685714285714286,0.7657142857142857,0.76,0.7628571428571429,0.7728571428571429,0.7585714285714286,0.7728571428571429,0.7642857142857142,0.7657142857142857,0.7671428571428571,0.7671428571428571,0.7542857142857143,0.7657142857142857
4,AllGestureWiimoteZ,0.7285714285714285,0.71,0.7242857142857143,0.7371428571428571,0.7257142857142858,0.7285714285714285,0.7171428571428572,0.7314285714285714,0.7342857142857143,0.73,0.72,0.7342857142857143,0.7314285714285714,0.7171428571428572,0.7214285714285714,0.7271428571428571,0.7128571428571429,0.7442857142857143,0.7257142857142858,0.7228571428571429,0.7428571428571429,0.73,0.7285714285714285,0.7414285714285714,0.75,0.7085714285714285,0.7242857142857143,0.7385714285714285,0.74,0.72
5,ArrowHead,0.8628571428571429,0.8914285714285715,0.92,0.9028571428571428,0.8857142857142857,0.8685714285714285,0.8742857142857143,0.9142857142857144,0.9142857142857144,0.92,0.8571428571428571,0.9028571428571428,0.8171428571428572,0.9371428571428572,0.9085714285714286,0.9142857142857144,0.8628571428571429,0.9085714285714286,0.9085714285714286,0.8914285714285715,0.9428571428571428,0.8914285714285715,0.8114285714285714,0.8971428571428571,0.9142857142857144,0.8971428571428571,0.9714285714285714,0.8857142857142857,0.9142857142857144,0.8685714285714285
6,BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Beef,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.6333333333333333,0.8666666666666667,0.6666666666666666,0.8666666666666667,0.6666666666666666,0.9,0.8,0.8333333333333334,0.8,0.8666666666666667,0.6333333333333333,0.8,0.7666666666666667,0.8,0.7333333333333333,0.6666666666666666,0.8666666666666667,0.7,0.8666666666666667,0.8,0.6666666666666666,0.7,0.7,0.9,0.8,0.7,0.8
8,BeetleFly,0.9,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.8,0.95,1.0,0.95,0.85,0.8,0.75,0.95,0.9,0.9,0.95,0.85,0.9,1.0,0.85,1.0,0.85,0.95,0.85,0.8,0.85,1.0
9,BirdChicken,0.9,0.85,0.8,0.95,0.9,0.95,0.9,0.8,0.85,0.9,0.9,0.9,0.95,0.85,0.85,0.95,0.95,0.9,0.9,0.9,0.9,0.95,1.0,0.8,0.85,0.9,0.85,0.8,0.9,0.85
