fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.93,0.84,0.85,0.89,0.9,0.9,0.82,0.84,0.81,0.85,0.88,0.93,0.89,0.84,0.85,0.86,0.84,0.9,0.88,0.79,0.86,0.87,0.84,0.85,0.84,0.91,0.84,0.78,0.82,0.91
Adiac,0.8388746803069054,0.8235294117647058,0.7851662404092071,0.7928388746803069,0.8312020460358056,0.8209718670076727,0.8081841432225064,0.80306905370844,0.8081841432225064,0.8286445012787724,0.8005115089514067,0.8081841432225064,0.7723785166240409,0.80306905370844,0.8184143222506394,0.8184143222506394,0.8107416879795396,0.7953964194373402,0.7928388746803069,0.8209718670076727,0.8132992327365729,0.8056265984654731,0.8209718670076727,0.8158567774936062,0.7928388746803069,0.8209718670076727,0.8056265984654731,0.7928388746803069,0.8439897698209718,0.8286445012787724
ArrowHead,0.8742857142857143,0.8857142857142857,0.8742857142857143,0.9028571428571428,0.92,0.8742857142857143,0.88,0.9028571428571428,0.8971428571428571,0.9142857142857144,0.8742857142857143,0.8971428571428571,0.7885714285714286,0.9142857142857144,0.9028571428571428,0.9028571428571428,0.8571428571428571,0.92,0.9142857142857144,0.8857142857142857,0.96,0.8914285714285715,0.8514285714285714,0.8914285714285715,0.9142857142857144,0.8914285714285715,0.96,0.8742857142857143,0.8971428571428571,0.8857142857142857
BME,1.0,1.0,0.9933333333333332,0.9933333333333332,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.9933333333333332,1.0,0.9933333333333332,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.9933333333333332,1.0,0.9933333333333332,1.0,0.9933333333333332,0.9866666666666668,0.9933333333333332,0.9933333333333332
Beef,0.8,0.8,0.7666666666666667,0.6333333333333333,0.9,0.6333333333333333,0.8666666666666667,0.7,0.9,0.8,0.7666666666666667,0.8333333333333334,0.8666666666666667,0.6666666666666666,0.8333333333333334,0.7,0.6333333333333333,0.6666666666666666,0.6,0.8333333333333334,0.6666666666666666,0.8,0.6,0.6666666666666666,0.7666666666666667,0.5333333333333333,0.8,0.8,0.6333333333333333,0.7666666666666667
BeetleFly,0.9,0.9,0.85,0.9,0.9,0.9,1.0,0.9,0.8,1.0,0.9,0.95,0.8,0.8,0.75,0.95,0.75,0.85,0.95,0.9,0.85,0.9,0.85,0.95,0.85,0.8,0.9,0.8,0.8,1.0
BirdChicken,0.9,0.9,0.8,1.0,0.95,0.95,0.9,0.85,0.9,0.9,0.85,0.95,0.95,0.85,0.85,1.0,0.95,0.95,0.9,1.0,0.8,1.0,1.0,0.9,0.85,0.95,0.95,0.9,0.9,0.9
CBF,1.0,1.0,0.9555555555555556,1.0,1.0,0.9844444444444445,0.9988888888888888,1.0,0.9977777777777778,1.0,0.9888888888888888,0.9988888888888888,0.9988888888888888,1.0,0.9977777777777778,1.0,0.9966666666666668,0.9888888888888888,0.9911111111111112,0.9911111111111112,0.9655555555555556,1.0,0.9988888888888888,1.0,1.0,1.0,1.0,0.9988888888888888,0.9977777777777778,1.0
Car,0.9,0.9166666666666666,0.9,0.9166666666666666,0.8833333333333333,0.9,0.85,0.9333333333333332,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.9166666666666666,0.9333333333333332,0.9166666666666666,0.9,0.8833333333333333,0.9166666666666666,0.9166666666666666,0.8833333333333333,0.9166666666666666,0.8666666666666667,0.9166666666666666,0.9666666666666668,0.9,0.95,0.9,0.9333333333333332,0.9,0.9,0.8833333333333333
Chinatown,0.9825072886297376,0.9562682215743442,0.979591836734694,0.9650145772594751,0.9620991253644317,0.9562682215743442,0.9650145772594751,0.9562682215743442,0.97667638483965,0.9620991253644317,0.9708454810495628,0.9650145772594751,0.9737609329446064,0.9708454810495628,0.9620991253644317,0.9562682215743442,0.9620991253644317,0.9620991253644317,0.967930029154519,0.9562682215743442,0.9620991253644317,0.9708454810495628,0.9620991253644317,0.9416909620991254,0.9620991253644317,0.9650145772594751,0.97667638483965,0.9650145772594751,0.9737609329446064,0.9620991253644317
ChlorineConcentration,0.7450520833333333,0.7744791666666667,0.7416666666666667,0.7505208333333333,0.7578125,0.75546875,0.75546875,0.76484375,0.7388020833333333,0.7166666666666667,0.7653645833333333,0.7333333333333333,0.7598958333333333,0.7440104166666667,0.7643229166666666,0.7518229166666667,0.7486979166666666,0.7557291666666667,0.728125,0.7442708333333333,0.7432291666666667,0.7458333333333333,0.7479166666666667,0.7484375,0.7770833333333333,0.74140625,0.71796875,0.7411458333333333,0.7408854166666666,0.7354166666666667
CinCECGTorso,0.9231884057971016,0.8891304347826087,0.9181159420289856,0.98768115942029,0.9369565217391304,0.9021739130434784,0.8572463768115942,0.9246376811594202,0.9456521739130436,0.9260869565217392,0.9014492753623188,0.9608695652173912,0.9130434782608696,0.9536231884057972,0.9094202898550724,0.927536231884058,0.9144927536231884,0.95,0.9311594202898552,0.955072463768116,0.9492753623188406,0.9166666666666666,0.8644927536231884,0.9688405797101448,0.8630434782608696,0.9427536231884058,0.9615942028985508,0.9420289855072465,0.936231884057971,0.9007246376811594
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.72,0.82,0.78,0.8079999999999999,0.792,0.82,0.8,0.812,0.8079999999999999,0.82,0.7959999999999999,0.816,0.8320000000000001,0.828,0.84,0.7759999999999999,0.784,0.8079999999999999,0.82,0.82,0.82,0.772,0.82,0.812,0.804,0.82,0.7959999999999999,0.8240000000000001,0.82,0.804
CricketX,0.8076923076923077,0.8487179487179487,0.8102564102564103,0.8102564102564103,0.8076923076923077,0.8076923076923077,0.8102564102564103,0.8487179487179487,0.8307692307692308,0.823076923076923,0.8205128205128205,0.8384615384615385,0.8564102564102564,0.8410256410256409,0.8461538461538461,0.8666666666666667,0.8410256410256409,0.8384615384615385,0.7923076923076923,0.8615384615384616,0.7948717948717948,0.8153846153846154,0.8179487179487179,0.8512820512820513,0.8282051282051283,0.8256410256410256,0.8128205128205128,0.8205128205128205,0.8282051282051283,0.8205128205128205
CricketY,0.8512820512820513,0.8461538461538461,0.8307692307692308,0.8512820512820513,0.8461538461538461,0.8512820512820513,0.8435897435897436,0.8461538461538461,0.8589743589743589,0.8615384615384616,0.8641025641025641,0.8641025641025641,0.8487179487179487,0.8384615384615385,0.8692307692307693,0.8076923076923077,0.8641025641025641,0.8769230769230769,0.8358974358974359,0.8307692307692308,0.8692307692307693,0.8512820512820513,0.8692307692307693,0.8512820512820513,0.8384615384615385,0.8384615384615385,0.8589743589743589,0.8461538461538461,0.8538461538461538,0.8538461538461538
