fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.95,0.83,0.83,0.85,0.91,0.86,0.81,0.86,0.87,0.8,0.87,0.9,0.89,0.83,0.86,0.82,0.86,0.9,0.87,0.8,0.85,0.85,0.79,0.9,0.86,0.85,0.88,0.77,0.82,0.86
Adiac,0.8107416879795396,0.7953964194373402,0.7877237851662404,0.7749360613810742,0.80306905370844,0.7902813299232737,0.7953964194373402,0.7826086956521741,0.7851662404092071,0.7851662404092071,0.7800511508951407,0.7953964194373402,0.7544757033248082,0.7877237851662404,0.8107416879795396,0.7902813299232737,0.8005115089514067,0.7877237851662404,0.7928388746803069,0.8184143222506394,0.8081841432225064,0.80306905370844,0.8209718670076727,0.7902813299232737,0.7723785166240409,0.8056265984654731,0.7723785166240409,0.7902813299232737,0.8056265984654731,0.8132992327365729
ArrowHead,0.8857142857142857,0.8514285714285714,0.8857142857142857,0.9028571428571428,0.9142857142857144,0.8228571428571428,0.8742857142857143,0.8742857142857143,0.88,0.92,0.8457142857142858,0.8857142857142857,0.7714285714285715,0.8914285714285715,0.9028571428571428,0.9028571428571428,0.7828571428571428,0.8857142857142857,0.8971428571428571,0.7428571428571429,0.9485714285714286,0.92,0.8571428571428571,0.8742857142857143,0.9085714285714286,0.8914285714285715,0.9371428571428572,0.8571428571428571,0.9028571428571428,0.8285714285714286
BME,1.0,0.9866666666666668,0.9866666666666668,0.9933333333333332,1.0,1.0,0.98,0.9933333333333332,1.0,0.9933333333333332,0.9866666666666668,1.0,1.0,0.9933333333333332,0.98,0.9933333333333332,1.0,0.9933333333333332,1.0,1.0,1.0,0.98,0.9866666666666668,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.9866666666666668,0.9933333333333332
Beef,0.7666666666666667,0.8,0.7,0.5333333333333333,0.8333333333333334,0.6666666666666666,0.8666666666666667,0.6666666666666666,0.9,0.7666666666666667,0.7333333333333333,0.8,0.8666666666666667,0.6333333333333333,0.8666666666666667,0.7666666666666667,0.7666666666666667,0.6666666666666666,0.6,0.9,0.7333333333333333,0.7,0.6333333333333333,0.6,0.7666666666666667,0.6,0.8,0.7666666666666667,0.6333333333333333,0.7
BeetleFly,0.9,0.9,0.8,0.95,0.9,0.9,1.0,0.85,0.8,0.9,0.95,0.95,0.8,0.8,0.75,0.9,0.8,0.85,0.95,0.9,0.85,1.0,0.85,0.95,0.85,0.9,0.9,0.8,0.8,1.0
BirdChicken,0.9,0.95,0.8,1.0,0.95,0.95,0.9,0.8,0.85,0.9,0.85,0.95,0.95,0.85,0.85,0.95,0.95,0.95,0.9,1.0,0.8,1.0,1.0,0.95,0.85,0.95,0.95,0.85,0.8,0.9
CBF,0.9988888888888888,1.0,0.9455555555555556,0.9988888888888888,1.0,0.9844444444444445,0.9988888888888888,1.0,1.0,1.0,0.9944444444444444,0.9988888888888888,1.0,1.0,1.0,1.0,0.9977777777777778,0.9922222222222222,0.9877777777777778,0.9888888888888888,0.9677777777777776,1.0,0.9988888888888888,1.0,0.9988888888888888,1.0,1.0,0.9988888888888888,1.0,0.9988888888888888
Car,0.85,0.9333333333333332,0.7666666666666667,0.8666666666666667,0.8833333333333333,0.9333333333333332,0.7166666666666667,0.85,0.8333333333333334,0.9166666666666666,0.8166666666666667,0.9,0.8833333333333333,0.9166666666666666,0.7333333333333333,0.65,0.9,0.8666666666666667,0.8833333333333333,0.9,0.8666666666666667,0.7833333333333333,0.9666666666666668,0.8833333333333333,0.8166666666666667,0.8833333333333333,0.75,0.9,0.85,0.7333333333333333
Chinatown,0.7900874635568513,0.7667638483965015,0.912536443148688,0.8338192419825073,0.7521865889212828,0.7026239067055393,0.7871720116618076,0.6122448979591837,0.6734693877551021,0.7638483965014577,0.641399416909621,0.8833819241982507,0.8454810495626822,0.685131195335277,0.8396501457725948,0.8775510204081632,0.9067055393586004,0.7667638483965015,0.8804664723032071,0.8892128279883382,0.9446064139941692,0.7405247813411079,0.8046647230320699,0.5801749271137027,0.9650145772594751,0.9650145772594751,0.7434402332361516,0.7230320699708455,0.967930029154519,0.6997084548104956
ChlorineConcentration,0.7796875,0.79375,0.7721354166666666,0.7614583333333333,0.76875,0.7528645833333333,0.77109375,0.7729166666666667,0.759375,0.7270833333333333,0.7677083333333333,0.74765625,0.7932291666666667,0.76484375,0.7625,0.7674479166666667,0.7765625,0.7674479166666667,0.75625,0.7619791666666667,0.7533854166666667,0.74765625,0.7588541666666667,0.7674479166666667,0.7942708333333334,0.7440104166666667,0.728125,0.7484375,0.7552083333333334,0.74140625
CinCECGTorso,0.9355072463768116,0.8905797101449275,0.9036231884057973,0.9869565217391304,0.9355072463768116,0.894927536231884,0.841304347826087,0.915217391304348,0.9456521739130436,0.9391304347826088,0.9072463768115944,0.9673913043478259,0.917391304347826,0.9630434782608696,0.9108695652173912,0.9318840579710144,0.9166666666666666,0.9731884057971014,0.9333333333333332,0.9586956521739132,0.9507246376811594,0.9246376811594202,0.8739130434782608,0.9688405797101448,0.8782608695652174,0.9688405797101448,0.9644927536231884,0.9478260869565216,0.9195652173913044,0.905072463768116
Coffee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Computers,0.764,0.828,0.8440000000000001,0.856,0.856,0.892,0.88,0.8320000000000001,0.848,0.872,0.884,0.852,0.892,0.86,0.848,0.82,0.84,0.884,0.86,0.836,0.852,0.852,0.852,0.8759999999999999,0.884,0.84,0.84,0.912,0.8440000000000001,0.884
CricketX,0.8384615384615385,0.8333333333333334,0.8282051282051283,0.8256410256410256,0.8410256410256409,0.8307692307692308,0.8153846153846154,0.8564102564102564,0.8410256410256409,0.8282051282051283,0.8384615384615385,0.8615384615384616,0.8769230769230769,0.8435897435897436,0.8435897435897436,0.8589743589743589,0.8461538461538461,0.8666666666666667,0.8153846153846154,0.8692307692307693,0.8,0.8307692307692308,0.8282051282051283,0.8666666666666667,0.8358974358974359,0.8564102564102564,0.8333333333333334,0.8384615384615385,0.8384615384615385,0.8205128205128205
CricketY,0.8538461538461538,0.8564102564102564,0.8333333333333334,0.8410256410256409,0.8435897435897436,0.8666666666666667,0.8358974358974359,0.8435897435897436,0.8692307692307693,0.8666666666666667,0.8743589743589744,0.8692307692307693,0.8564102564102564,0.8538461538461538,0.8615384615384616,0.8128205128205128,0.8589743589743589,0.8692307692307693,0.8461538461538461,0.8487179487179487,0.8538461538461538,0.8512820512820513,0.8794871794871795,0.8666666666666667,0.8435897435897436,0.8564102564102564,0.8589743589743589,0.8461538461538461,0.8769230769230769,0.8538461538461538
CricketZ,0.8538461538461538,0.8410256410256409,0.8641025641025641,0.8564102564102564,0.8692307692307693,0.8666666666666667,0.8794871794871795,0.8717948717948718,0.8641025641025641,0.8307692307692308,0.8538461538461538,0.8666666666666667,0.8333333333333334,0.8692307692307693,0.8641025641025641,0.8307692307692308,0.8589743589743589,0.8615384615384616,0.8641025641025641,0.8743589743589744,0.8769230769230769,0.8487179487179487,0.8615384615384616,0.8410256410256409,0.8717948717948718,0.8487179487179487,0.8589743589743589,0.8102564102564103,0.8358974358974359,0.8717948717948718
