fold:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ACSF1,0.93,0.83,0.82,0.82,0.93,0.84,0.83,0.82,0.85,0.8,0.83,0.89,0.88,0.77,0.84,0.82,0.85,0.88,0.87,0.8,0.86,0.83,0.81,0.91,0.82,0.85,0.87,0.77,0.78,0.88
Adiac,0.7826086956521741,0.7647058823529411,0.7468030690537084,0.7416879795396419,0.7774936061381074,0.7519181585677749,0.7774936061381074,0.7723785166240409,0.7774936061381074,0.7774936061381074,0.7647058823529411,0.7800511508951407,0.7442455242966752,0.7544757033248082,0.7749360613810742,0.7723785166240409,0.7826086956521741,0.7774936061381074,0.7698209718670077,0.7826086956521741,0.7698209718670077,0.7570332480818415,0.7826086956521741,0.7826086956521741,0.7544757033248082,0.7928388746803069,0.7493606138107417,0.7723785166240409,0.7851662404092071,0.7826086956521741
ArrowHead,0.8514285714285714,0.8514285714285714,0.8742857142857143,0.8857142857142857,0.9028571428571428,0.8342857142857143,0.88,0.8971428571428571,0.8628571428571429,0.9257142857142856,0.8285714285714286,0.8971428571428571,0.76,0.9028571428571428,0.8971428571428571,0.9142857142857144,0.8,0.88,0.9028571428571428,0.8514285714285714,0.9485714285714286,0.84,0.88,0.8971428571428571,0.92,0.8857142857142857,0.9142857142857144,0.8571428571428571,0.8685714285714285,0.8571428571428571
BME,1.0,0.98,0.98,0.9933333333333332,1.0,1.0,0.9933333333333332,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.98,0.9933333333333332,0.9933333333333332,0.9866666666666668,0.9466666666666668,0.9866666666666668,0.9933333333333332,0.98,1.0,1.0,1.0,0.98,0.98,0.98,0.98,0.9866666666666668,0.9933333333333332,0.9733333333333334,0.98,0.9866666666666668
Beef,0.8,0.7666666666666667,0.7333333333333333,0.5666666666666667,0.9,0.6333333333333333,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.7,0.8,0.8666666666666667,0.6333333333333333,0.8666666666666667,0.7333333333333333,0.8,0.6666666666666666,0.6,0.9,0.7,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.7,0.7666666666666667
BeetleFly,0.95,0.95,0.8,0.95,0.9,0.9,1.0,0.9,0.85,0.85,0.95,0.95,0.8,0.8,0.8,0.95,0.9,0.85,0.95,0.85,0.9,1.0,0.85,0.95,0.85,0.9,0.95,0.8,0.8,1.0
BirdChicken,0.9,0.9,0.85,0.9,0.85,0.85,0.9,0.85,0.8,0.8,0.85,0.85,0.95,0.9,0.85,1.0,0.85,0.95,0.9,1.0,0.85,1.0,1.0,1.0,0.85,0.95,0.85,0.8,0.8,0.9
CBF,0.9988888888888888,1.0,0.9588888888888888,0.9988888888888888,1.0,0.9933333333333332,0.9988888888888888,0.9988888888888888,1.0,1.0,0.9977777777777778,0.9988888888888888,1.0,1.0,1.0,1.0,0.9988888888888888,0.9955555555555556,0.9955555555555556,0.9933333333333332,0.9811111111111112,1.0,0.9988888888888888,1.0,0.9988888888888888,1.0,1.0,0.9988888888888888,1.0,0.9988888888888888
Car,0.9166666666666666,0.9,0.9166666666666666,0.9,0.8666666666666667,0.9,0.8833333333333333,0.9,0.8833333333333333,0.9,0.8833333333333333,0.9166666666666666,0.9166666666666666,0.9,0.9166666666666666,0.85,0.95,0.7166666666666667,0.8833333333333333,0.95,0.8166666666666667,0.9166666666666666,0.9666666666666668,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.95,0.9,0.8833333333333333,0.8666666666666667
Chinatown,0.9825072886297376,0.9737609329446064,0.9854227405247812,0.9737609329446064,0.9650145772594751,0.9650145772594751,0.967930029154519,0.9825072886297376,0.9825072886297376,0.9650145772594751,0.9825072886297376,0.9650145772594751,0.9708454810495628,0.9708454810495628,0.9708454810495628,0.9650145772594751,0.9737609329446064,0.967930029154519,0.9708454810495628,0.967930029154519,0.967930029154519,0.9737609329446064,0.9650145772594751,0.9650145772594751,0.9650145772594751,0.967930029154519,0.97667638483965,0.9620991253644317,0.967930029154519,0.9650145772594751
