,folds:,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,ACSF1,0.91,0.82,0.82,0.85,0.83,0.88,0.81,0.84,0.79,0.78,0.83,0.89,0.88,0.79,0.88,0.79,0.83,0.89,0.84,0.77,0.79,0.83,0.84,0.89,0.84,0.9,0.77,0.78,0.81,0.87
1,Adiac,0.8337595907928389,0.8286445012787724,0.7928388746803069,0.8235294117647058,0.8439897698209718,0.8158567774936062,0.8132992327365729,0.8158567774936062,0.8132992327365729,0.8312020460358056,0.8286445012787724,0.8209718670076727,0.7979539641943734,0.8107416879795396,0.8209718670076727,0.8184143222506394,0.8312020460358056,0.8132992327365729,0.8056265984654731,0.8235294117647058,0.8235294117647058,0.8695652173913043,0.8337595907928389,0.8260869565217391,0.8184143222506394,0.8286445012787724,0.8081841432225064,0.8235294117647058,0.8465473145780051,0.8107416879795396
2,AllGestureWiimoteX,0.73,0.7257142857142858,0.73,0.7242857142857143,0.74,0.7342857142857143,0.7328571428571429,0.73,0.7514285714285714,0.7371428571428571,0.74,0.7242857142857143,0.7414285714285714,0.7342857142857143,0.7414285714285714,0.7257142857142858,0.7257142857142858,0.7328571428571429,0.7328571428571429,0.7414285714285714,0.7242857142857143,0.73,0.7471428571428571,0.7157142857142857,0.7357142857142858,0.7357142857142858,0.7271428571428571,0.7371428571428571,0.7371428571428571,0.7328571428571429
3,AllGestureWiimoteY,0.7714285714285715,0.7714285714285715,0.7728571428571429,0.7685714285714286,0.7614285714285715,0.7657142857142857,0.77,0.7671428571428571,0.7614285714285715,0.7614285714285715,0.7657142857142857,0.77,0.77,0.7742857142857142,0.77,0.7657142857142857,0.7614285714285715,0.77,0.7542857142857143,0.7728571428571429,0.7685714285714286,0.7757142857142857,0.7642857142857142,0.7685714285714286,0.7728571428571429,0.7614285714285715,0.7585714285714286,0.7728571428571429,0.7628571428571429,0.7642857142857142
4,AllGestureWiimoteZ,0.73,0.74,0.73,0.7271428571428571,0.7328571428571429,0.7285714285714285,0.7457142857142857,0.7257142857142858,0.7271428571428571,0.7314285714285714,0.7214285714285714,0.7357142857142858,0.7142857142857143,0.7271428571428571,0.7285714285714285,0.7257142857142858,0.7257142857142858,0.7157142857142857,0.73,0.7271428571428571,0.7457142857142857,0.7142857142857143,0.7485714285714286,0.7157142857142857,0.7385714285714285,0.7185714285714285,0.72,0.7428571428571429,0.7414285714285714,0.7314285714285714
5,ArrowHead,0.88,0.8971428571428571,0.92,0.9028571428571428,0.8857142857142857,0.8685714285714285,0.8914285714285715,0.9142857142857144,0.9142857142857144,0.9142857142857144,0.8571428571428571,0.9028571428571428,0.8171428571428572,0.9257142857142856,0.9085714285714286,0.92,0.8571428571428571,0.9142857142857144,0.9085714285714286,0.8914285714285715,0.9428571428571428,0.8857142857142857,0.8171428571428572,0.8914285714285715,0.9142857142857144,0.9028571428571428,0.9657142857142856,0.8857142857142857,0.9085714285714286,0.8742857142857143
6,BME,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,Beef,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.6333333333333333,0.8666666666666667,0.6333333333333333,0.8666666666666667,0.6666666666666666,0.9,0.8,0.8333333333333334,0.8,0.9,0.6333333333333333,0.8,0.8333333333333334,0.8,0.7666666666666667,0.6666666666666666,0.8666666666666667,0.7333333333333333,0.8666666666666667,0.7666666666666667,0.7,0.7,0.7,0.9,0.8,0.6666666666666666,0.8
8,BeetleFly,0.85,0.9,0.8,0.9,0.9,0.9,1.0,0.9,0.8,0.95,1.0,0.95,0.85,0.8,0.75,0.95,0.9,0.9,0.95,0.85,0.9,1.0,0.85,1.0,0.85,0.95,0.85,0.8,0.85,1.0
9,BirdChicken,0.9,0.85,0.8,0.95,0.9,0.95,0.9,0.8,0.85,0.9,0.9,0.9,0.95,0.85,0.85,0.95,0.95,0.9,0.9,0.9,0.9,0.95,1.0,0.8,0.85,0.9,0.85,0.8,0.9,0.8
10,CBF,0.9955555555555556,0.9944444444444444,0.9722222222222222,0.9944444444444444,0.9966666666666668,0.9844444444444445,0.9944444444444444,0.9955555555555556,0.9944444444444444,0.9977777777777778,0.9866666666666668,0.9955555555555556,0.9955555555555556,0.9988888888888888,0.9944444444444444,0.9988888888888888,0.9944444444444444,0.9866666666666668,0.9855555555555556,0.9933333333333332,0.9744444444444444,0.9988888888888888,0.9988888888888888,0.9977777777777778,0.9977777777777778,0.9988888888888888,0.9977777777777778,0.9988888888888888,0.98,0.9966666666666668
11,Car,0.9333333333333332,0.9333333333333332,0.9166666666666666,0.95,0.8833333333333333,0.9333333333333332,0.9,0.95,0.9333333333333332,0.9166666666666666,0.9166666666666666,0.8833333333333333,0.9166666666666666,0.9166666666666666,0.9,0.9166666666666666,0.9333333333333332,0.9166666666666666,0.9166666666666666,0.95,0.9,0.9333333333333332,0.9666666666666668,0.9166666666666666,0.9333333333333332,0.9,0.9333333333333332,0.9166666666666666,0.95,0.9166666666666666
